ASSERTION	AAECAAMEAAAAAAAAwFhA
ASSERTION	AAEDAAEBAwAAAAAAAHCnQA==
RUN	parabank.state.StateLoad	stateload	1760300927123	 	3.3.1
USER	Carga de Estados de cuentas	142	END	1760300928162	1760300928963
REQUEST	16		Accounts	1760300928155	1760300928969	OK	 
USER	Carga de Estados de cuentas	16	END	1760300928124	1760300928969
REQUEST	80		Accounts	1760300928160	1760300928972	OK	 
USER	Carga de Estados de cuentas	80	END	1760300928159	1760300928972
REQUEST	5		Accounts	1760300928157	1760300928975	OK	 
REQUEST	144		Accounts	1760300928162	1760300928975	OK	 
USER	Carga de Estados de cuentas	5	END	1760300928121	1760300928976
USER	Carga de Estados de cuentas	144	END	1760300928162	1760300928976
REQUEST	19		Accounts	1760300928155	1760300928977	OK	 
USER	Carga de Estados de cuentas	19	END	1760300928124	1760300928977
REQUEST	112		Accounts	1760300928161	1760300928981	OK	 
REQUEST	96		Accounts	1760300928160	1760300928981	OK	 
USER	Carga de Estados de cuentas	112	END	1760300928161	1760300928981
USER	Carga de Estados de cuentas	96	END	1760300928160	1760300928981
REQUEST	115		Accounts	1760300928161	1760300928982	OK	 
USER	Carga de Estados de cuentas	115	END	1760300928161	1760300928982
REQUEST	102		Accounts	1760300928162	1760300928983	OK	 
USER	Carga de Estados de cuentas	102	END	1760300928160	1760300928983
REQUEST	107		Accounts	1760300928161	1760300928985	OK	 
USER	Carga de Estados de cuentas	107	END	1760300928161	1760300928985
REQUEST	139		Accounts	1760300928164	1760300928985	OK	 
USER	Carga de Estados de cuentas	139	END	1760300928162	1760300928986
REQUEST	134		Accounts	1760300928165	1760300928994	OK	 
USER	Carga de Estados de cuentas	134	END	1760300928161	1760300928994
REQUEST	129		Accounts	1760300928161	1760300928994	OK	 
REQUEST	78		Accounts	1760300928160	1760300928994	OK	 
REQUEST	77		Accounts	1760300928160	1760300928994	OK	 
USER	Carga de Estados de cuentas	129	END	1760300928161	1760300928994
USER	Carga de Estados de cuentas	78	END	1760300928159	1760300928995
USER	Carga de Estados de cuentas	77	END	1760300928159	1760300928995
REQUEST	43		Accounts	1760300928155	1760300928998	OK	 
USER	Carga de Estados de cuentas	43	END	1760300928130	1760300928998
REQUEST	183		Accounts	1760300928164	1760300929004	OK	 
USER	Carga de Estados de cuentas	183	END	1760300928164	1760300929004
REQUEST	147		Accounts	1760300928163	1760300929006	OK	 
USER	Carga de Estados de cuentas	147	END	1760300928162	1760300929006
REQUEST	179		Accounts	1760300928165	1760300929007	OK	 
REQUEST	103		Accounts	1760300928161	1760300929007	OK	 
USER	Carga de Estados de cuentas	179	END	1760300928164	1760300929007
USER	Carga de Estados de cuentas	103	END	1760300928160	1760300929007
REQUEST	176		Accounts	1760300928164	1760300929010	OK	 
USER	Carga de Estados de cuentas	176	END	1760300928164	1760300929010
REQUEST	119		Accounts	1760300928161	1760300929019	OK	 
REQUEST	110		Accounts	1760300928166	1760300929019	OK	 
USER	Carga de Estados de cuentas	119	END	1760300928161	1760300929019
USER	Carga de Estados de cuentas	110	END	1760300928161	1760300929019
REQUEST	105		Accounts	1760300928161	1760300929021	OK	 
USER	Carga de Estados de cuentas	105	END	1760300928160	1760300929021
REQUEST	14		Accounts	1760300928155	1760300929023	OK	 
USER	Carga de Estados de cuentas	14	END	1760300928123	1760300929024
REQUEST	71		Accounts	1760300928159	1760300929024	OK	 
USER	Carga de Estados de cuentas	71	END	1760300928159	1760300929026
REQUEST	177		Accounts	1760300928166	1760300929031	OK	 
REQUEST	69		Accounts	1760300928159	1760300929031	OK	 
USER	Carga de Estados de cuentas	177	END	1760300928164	1760300929031
USER	Carga de Estados de cuentas	69	END	1760300928159	1760300929031
REQUEST	64		Accounts	1760300928159	1760300929033	OK	 
USER	Carga de Estados de cuentas	64	END	1760300928159	1760300929033
REQUEST	44		Accounts	1760300928155	1760300929036	OK	 
USER	Carga de Estados de cuentas	44	END	1760300928130	1760300929037
REQUEST	195		Accounts	1760300928165	1760300929037	OK	 
USER	Carga de Estados de cuentas	195	END	1760300928165	1760300929037
REQUEST	61		Accounts	1760300928159	1760300929040	OK	 
USER	Carga de Estados de cuentas	61	END	1760300928159	1760300929041
REQUEST	192		Accounts	1760300928165	1760300929041	OK	 
USER	Carga de Estados de cuentas	192	END	1760300928164	1760300929042
REQUEST	117		Accounts	1760300928161	1760300929045	OK	 
REQUEST	37		Accounts	1760300928155	1760300929045	OK	 
USER	Carga de Estados de cuentas	117	END	1760300928161	1760300929045
USER	Carga de Estados de cuentas	37	END	1760300928129	1760300929045
REQUEST	149		Accounts	1760300928163	1760300929045	OK	 
USER	Carga de Estados de cuentas	149	END	1760300928162	1760300929046
REQUEST	133		Accounts	1760300928162	1760300929046	OK	 
USER	Carga de Estados de cuentas	133	END	1760300928161	1760300929047
REQUEST	41		Accounts	1760300928169	1760300929050	OK	 
REQUEST	165		Accounts	1760300928164	1760300929050	OK	 
USER	Carga de Estados de cuentas	41	END	1760300928130	1760300929051
USER	Carga de Estados de cuentas	165	END	1760300928163	1760300929051
REQUEST	123		Accounts	1760300928161	1760300929051	OK	 
USER	Carga de Estados de cuentas	123	END	1760300928161	1760300929053
REQUEST	163		Accounts	1760300928164	1760300929054	OK	 
USER	Carga de Estados de cuentas	163	END	1760300928163	1760300929055
REQUEST	121		Accounts	1760300928161	1760300929058	OK	 
USER	Carga de Estados de cuentas	121	END	1760300928161	1760300929058
REQUEST	85		Accounts	1760300928160	1760300929063	OK	 
USER	Carga de Estados de cuentas	85	END	1760300928160	1760300929063
REQUEST	101		Accounts	1760300928160	1760300929068	OK	 
USER	Carga de Estados de cuentas	101	END	1760300928160	1760300929068
REQUEST	39		Accounts	1760300928156	1760300929072	OK	 
USER	Carga de Estados de cuentas	39	END	1760300928130	1760300929072
REQUEST	197		Accounts	1760300928165	1760300929073	OK	 
REQUEST	40		Accounts	1760300928155	1760300929073	OK	 
USER	Carga de Estados de cuentas	197	END	1760300928165	1760300929073
USER	Carga de Estados de cuentas	40	END	1760300928130	1760300929073
REQUEST	131		Accounts	1760300928165	1760300929073	OK	 
REQUEST	65		Accounts	1760300928159	1760300929073	OK	 
REQUEST	53		Accounts	1760300928164	1760300929074	OK	 
USER	Carga de Estados de cuentas	65	END	1760300928159	1760300929074
USER	Carga de Estados de cuentas	131	END	1760300928161	1760300929075
USER	Carga de Estados de cuentas	53	END	1760300928158	1760300929075
REQUEST	161		Accounts	1760300928164	1760300929080	OK	 
REQUEST	27		Accounts	1760300928157	1760300929080	OK	 
USER	Carga de Estados de cuentas	161	END	1760300928163	1760300929081
USER	Carga de Estados de cuentas	27	END	1760300928128	1760300929081
REQUEST	17		Accounts	1760300928156	1760300929082	OK	 
USER	Carga de Estados de cuentas	17	END	1760300928124	1760300929082
REQUEST	153		Accounts	1760300928163	1760300929083	OK	 
USER	Carga de Estados de cuentas	153	END	1760300928163	1760300929084
REQUEST	185		Accounts	1760300928164	1760300929088	OK	 
USER	Carga de Estados de cuentas	185	END	1760300928164	1760300929089
REQUEST	59		Accounts	1760300928159	1760300929091	OK	 
USER	Carga de Estados de cuentas	59	END	1760300928159	1760300929091
REQUEST	8		Accounts	1760300928157	1760300929092	OK	 
USER	Carga de Estados de cuentas	8	END	1760300928122	1760300929093
REQUEST	73		Accounts	1760300928160	1760300929095	OK	 
USER	Carga de Estados de cuentas	73	END	1760300928159	1760300929095
REQUEST	91		Accounts	1760300928160	1760300929096	OK	 
USER	Carga de Estados de cuentas	91	END	1760300928160	1760300929096
REQUEST	160		Accounts	1760300928163	1760300929100	OK	 
REQUEST	168		Accounts	1760300928164	1760300929100	OK	 
USER	Carga de Estados de cuentas	160	END	1760300928163	1760300929100
USER	Carga de Estados de cuentas	168	END	1760300928164	1760300929100
REQUEST	200		Accounts	1760300928165	1760300929100	OK	 
USER	Carga de Estados de cuentas	200	END	1760300928165	1760300929101
REQUEST	126		Accounts	1760300928161	1760300929102	OK	 
