ASSERTION	AAEDAAEBAQAAAAAAAHCnQA==
ASSERTION	AAECAAIBAAAAAAAAAPA/
RUN	parabank.payment.Payment	payment	1760300941581	 	3.3.1
USER	make payments simultaneously	107	END	1760300942646	1760300943439
USER	make payments simultaneously	96	END	1760300942646	1760300943439
REQUEST	192		payment	1760300942650	1760300943462	OK	 
REQUEST	1		payment	1760300942642	1760300943462	OK	 
REQUEST	143		payment	1760300942648	1760300943463	OK	 
USER	make payments simultaneously	192	END	1760300942650	1760300943464
USER	make payments simultaneously	1	END	1760300942606	1760300943464
USER	make payments simultaneously	143	END	1760300942648	1760300943464
REQUEST	26		payment	1760300942642	1760300943466	OK	 
USER	make payments simultaneously	26	END	1760300942613	1760300943467
REQUEST	6		payment	1760300942642	1760300943475	OK	 
USER	make payments simultaneously	6	END	1760300942606	1760300943476
REQUEST	87		payment	1760300942646	1760300943493	OK	 
USER	make payments simultaneously	87	END	1760300942645	1760300943494
REQUEST	197		payment	1760300942650	1760300943499	OK	 
USER	make payments simultaneously	197	END	1760300942650	1760300943500
REQUEST	179		payment	1760300942649	1760300943502	OK	 
USER	make payments simultaneously	179	END	1760300942649	1760300943503
REQUEST	37		payment	1760300942642	1760300943511	OK	 
USER	make payments simultaneously	37	END	1760300942614	1760300943512
REQUEST	16		payment	1760300942642	1760300943521	OK	 
USER	make payments simultaneously	16	END	1760300942611	1760300943523
REQUEST	103		payment	1760300942646	1760300943526	OK	 
USER	make payments simultaneously	103	END	1760300942646	1760300943527
REQUEST	115		payment	1760300942647	1760300943528	OK	 
REQUEST	167		payment	1760300942649	1760300943528	OK	 
USER	make payments simultaneously	115	END	1760300942647	1760300943529
USER	make payments simultaneously	167	END	1760300942649	1760300943529
REQUEST	134		payment	1760300942648	1760300943538	OK	 
USER	make payments simultaneously	134	END	1760300942647	1760300943539
REQUEST	47		payment	1760300942643	1760300943546	OK	 
USER	make payments simultaneously	47	END	1760300942617	1760300943546
REQUEST	199		payment	1760300942650	1760300943547	OK	 
REQUEST	133		payment	1760300942648	1760300943548	OK	 
USER	make payments simultaneously	199	END	1760300942650	1760300943548
USER	make payments simultaneously	133	END	1760300942647	1760300943549
REQUEST	108		payment	1760300942647	1760300943558	OK	 
USER	make payments simultaneously	108	END	1760300942646	1760300943559
REQUEST	28		payment	1760300942643	1760300943560	OK	 
USER	make payments simultaneously	28	END	1760300942613	1760300943561
REQUEST	130		payment	1760300942647	1760300943562	OK	 
REQUEST	32		payment	1760300942642	1760300943562	OK	 
USER	make payments simultaneously	130	END	1760300942647	1760300943562
USER	make payments simultaneously	32	END	1760300942614	1760300943563
REQUEST	11		payment	1760300942642	1760300943565	OK	 
USER	make payments simultaneously	11	END	1760300942608	1760300943566
REQUEST	135		payment	1760300942648	1760300943569	OK	 
USER	make payments simultaneously	135	END	1760300942647	1760300943569
REQUEST	27		payment	1760300942643	1760300943572	OK	 
USER	make payments simultaneously	27	END	1760300942613	1760300943572
REQUEST	99		payment	1760300942650	1760300943573	OK	 
USER	make payments simultaneously	99	END	1760300942646	1760300943574
REQUEST	124		payment	1760300942647	1760300943574	OK	 
USER	make payments simultaneously	124	END	1760300942647	1760300943574
REQUEST	175		payment	1760300942651	1760300943577	OK	 
USER	make payments simultaneously	175	END	1760300942649	1760300943577
REQUEST	154		payment	1760300942649	1760300943578	OK	 
USER	make payments simultaneously	154	END	1760300942648	1760300943578
REQUEST	34		payment	1760300942643	1760300943583	OK	 
REQUEST	193		payment	1760300942650	1760300943583	OK	 
USER	make payments simultaneously	34	END	1760300942614	1760300943583
USER	make payments simultaneously	193	END	1760300942650	1760300943583
