ASSERTION	AAECAAMFAAAAAAAAAFlA
RUN	parabank.transaction.TransferLoadSimulation	transferloadsimulation	1760300862331	 	3.3.1
USER	Carga de Transferencias sin Login	169	START	1760300864556	1760300864556
USER	Carga de Transferencias sin Login	171	START	1760300864568	1760300864568
REQUEST	51		Transfer	1760300863767	1760300864573	OK	 
REQUEST	50		Transfer	1760300863766	1760300864573	OK	 
USER	Carga de Transferencias sin Login	51	END	1760300863766	1760300864574
USER	Carga de Transferencias sin Login	50	END	1760300863765	1760300864574
REQUEST	49		Transfer	1760300863766	1760300864583	OK	 
USER	Carga de Transferencias sin Login	49	END	1760300863765	1760300864583
USER	Carga de Transferencias sin Login	173	START	1760300864584	1760300864584
USER	Carga de Transferencias sin Login	172	START	1760300864584	1760300864584
USER	Carga de Transferencias sin Login	174	START	1760300864586	1760300864586
REQUEST	63		Transfer	1760300863849	1760300864588	OK	 
USER	Carga de Transferencias sin Login	63	END	1760300863846	1760300864588
REQUEST	52		Transfer	1760300863783	1760300864591	OK	 
REQUEST	48		Transfer	1760300863750	1760300864592	OK	 
USER	Carga de Transferencias sin Login	52	END	1760300863781	1760300864592
USER	Carga de Transferencias sin Login	48	END	1760300863749	1760300864592
USER	Carga de Transferencias sin Login	175	START	1760300864600	1760300864600
USER	Carga de Transferencias sin Login	176	START	1760300864600	1760300864600
REQUEST	56		Transfer	1760300863800	1760300864601	OK	 
USER	Carga de Transferencias sin Login	56	END	1760300863797	1760300864602
REQUEST	58		Transfer	1760300863817	1760300864602	OK	 
USER	Carga de Transferencias sin Login	58	END	1760300863816	1760300864603
REQUEST	60		Transfer	1760300863829	1760300864605	OK	 
USER	Carga de Transferencias sin Login	60	END	1760300863828	1760300864606
REQUEST	61		Transfer	1760300863848	1760300864610	OK	 
USER	Carga de Transferencias sin Login	61	END	1760300863844	1760300864610
REQUEST	57		Transfer	1760300863813	1760300864612	OK	 
USER	Carga de Transferencias sin Login	57	END	1760300863812	1760300864612
USER	Carga de Transferencias sin Login	177	START	1760300864616	1760300864616
USER	Carga de Transferencias sin Login	178	START	1760300864616	1760300864616
USER	Carga de Transferencias sin Login	179	START	1760300864616	1760300864616
REQUEST	67		Transfer	1760300863878	1760300864627	OK	 
USER	Carga de Transferencias sin Login	67	END	1760300863876	1760300864627
USER	Carga de Transferencias sin Login	180	START	1760300864632	1760300864632
USER	Carga de Transferencias sin Login	181	START	1760300864636	1760300864636
USER	Carga de Transferencias sin Login	182	START	1760300864636	1760300864636
REQUEST	62		Transfer	1760300863846	1760300864637	OK	 
REQUEST	69		Transfer	1760300863892	1760300864637	OK	 
USER	Carga de Transferencias sin Login	62	END	1760300863844	1760300864637
USER	Carga de Transferencias sin Login	69	END	1760300863892	1760300864638
REQUEST	71		Transfer	1760300863897	1760300864641	OK	 
USER	Carga de Transferencias sin Login	71	END	1760300863896	1760300864642
USER	Carga de Transferencias sin Login	183	START	1760300864647	1760300864647
REQUEST	59		Transfer	1760300863818	1760300864652	OK	 
USER	Carga de Transferencias sin Login	59	END	1760300863816	1760300864652
REQUEST	68		Transfer	1760300863877	1760300864654	OK	 
USER	Carga de Transferencias sin Login	68	END	1760300863876	1760300864655
REQUEST	72		Transfer	1760300863909	1760300864661	OK	 
USER	Carga de Transferencias sin Login	72	END	1760300863908	1760300864661
USER	Carga de Transferencias sin Login	185	START	1760300864663	1760300864663
USER	Carga de Transferencias sin Login	184	START	1760300864663	1760300864663
USER	Carga de Transferencias sin Login	186	START	1760300864666	1760300864666
REQUEST	65		Transfer	1760300863861	1760300864670	OK	 
USER	Carga de Transferencias sin Login	65	END	1760300863860	1760300864670
REQUEST	74		Transfer	1760300863924	1760300864672	OK	 
USER	Carga de Transferencias sin Login	74	END	1760300863923	1760300864672
USER	Carga de Transferencias sin Login	187	START	1760300864679	1760300864679
USER	Carga de Transferencias sin Login	188	START	1760300864679	1760300864679
REQUEST	76		Transfer	1760300863940	1760300864681	OK	 
USER	Carga de Transferencias sin Login	76	END	1760300863939	1760300864681
REQUEST	64		Transfer	1760300863861	1760300864689	OK	 
USER	Carga de Transferencias sin Login	64	END	1760300863860	1760300864689
REQUEST	75		Transfer	1760300863927	1760300864689	OK	 
